AvgSentiment,AvgTopicContrib,Negative,Positive,Neutral,testPositive,death,totalTested,hospitalizedIncrease,temp,airTravel,zoom
0.4194414506,0.3406087773,32,6,32,40,8,13,833,39.63,2280522,113.11
0.5530474485,0.3485605998,25,40,13,53,11,22,884,43.34,2089641,113.11
0.3625150796,0.3438009111,50,11,21,94,14,47,1173,47.87,1736393,117.47
0.3981055578,0.3205079505,28,11,13,209,16,279,1345,47.01,1877401,116.8
0.4487471741,0.3236119637,22,8,24,277,20,407,1413,44.94,2130015,125
0.4185555817,0.3236854361,26,7,21,395,26,679,1472,43.01,2198517,114.32
0.3882912018,0.3244195159,27,5,20,551,27,736,1998,42.4,1844811,114.32
0.3809504098,0.3353469785,34,13,20,734,31,786,2042,44.97,2119867,114.32
0.3393432679,0.3293647829,40,7,17,1054,35,868,2056,48.53,1909363,113.75
0.3595925867,0.3294399911,31,9,14,1372,37,1329,2207,48.91,1617220,108.49
0.4667652187,0.3203877701,34,16,12,1764,43,2399,2208,48.93,1702686,110.3
0.3433474459,0.3192133307,43,12,10,2228,51,2686,2248,48.93,1788456,109.47
0.3603880744,0.3217040318,52,7,27,3103,55,4244,2302,48.37,1714372,107.47
0.3724559189,0.329437066,57,15,25,3858,63,6447,2394,44.66,1485553,107.47
0.3810049936,0.3212240117,35,9,22,4916,76,6580,2514,42.41,1519192,107.47
0.4298225047,0.3246062129,31,10,32,6196,97,14140,2556,41.76,1257823,107.86
0.3416541104,0.3264575212,42,5,19,8387,119,14760,2652,45.17,953699,111.1
0.415334626,0.3266567732,29,11,21,10963,142,21691,2975,47.41,779631,118.71
0.4586520768,0.3184322067,21,12,19,15160,185,25968,3134,50.09,620883,123.77
0.409552934,0.3204263508,32,8,28,20936,247,35807,3250,49.6,593167,130.55
0.4518602167,0.325400477,25,11,20,27467,297,45097,3303,44.47,548132,130.55
0.4494247005,0.3239748369,33,16,25,36427,426,46530,3417,42.06,454516,130.55
0.3677910819,0.3248838981,42,8,13,47105,509,55732,3656,45.14,331431,159.56
0.4469860789,0.320908388,28,6,32,57269,706,66589,3711,48.04,279018,135.18
0.4650936433,0.330424273,22,13,25,69558,931,78895,3890,48.12,239234,138.11
0.4610880082,0.3249227345,25,8,22,86867,1208,93073,4141,49.24,203858,141.15
0.4473743739,0.3233283135,26,9,20,105526,1574,96399,4166,52.35,199644,151.7
0.4452526526,0.313394687,29,11,23,124889,2001,106965,4291,52.63,184027,151.7
0.3293336702,0.3303037464,42,11,9,144369,2467,107893,4874,52.45,180002,151.7
0.4981038669,0.3231542536,27,20,23,165587,2983,110627,5102,50.98,154080,150.88
0.4581861805,0.3118473476,21,7,26,190061,3803,118642,5643,48.77,146348,150.88
