AvgSentiment,AvgTopicContrib,Negative,Positive,Neutral,testPositive,death,totalTested,hospitalizedIncrease,temp,airTravel,zoom
0.4850830276,0.3274871158,18,15,21,40,8,13,833,39.63,2280522,113.11
0.5900569922,0.3375788913,6,14,22,53,11,22,884,43.34,2089641,113.11
0.494143892,0.3201998287,9,5,15,94,14,47,1173,47.87,1736393,117.47
0.5626369604,0.3186582896,9,10,14,209,16,279,1345,47.01,1877401,116.8
0.4578036738,0.3236868289,10,4,15,277,20,407,1413,44.94,2130015,125
0.5473349135,0.3118490049,3,4,6,395,26,679,1472,43.01,2198517,114.32
0.4803354274,0.3101942383,6,2,12,551,27,736,1998,42.4,1844811,114.32
0.5446617994,0.3116232902,3,7,6,734,31,786,2042,44.97,2119867,114.32
0.5434402512,0.3223382081,5,4,22,1054,35,868,2056,48.53,1909363,113.75
0.5551388028,0.3016631493,6,8,5,1372,37,1329,2207,48.91,1617220,108.49
0.4193810858,0.2987696603,2,1,1,1764,43,2399,2208,48.93,1702686,110.3
0.6994524364,0.3193399161,1,8,5,2228,51,2686,2248,48.93,1788456,109.47
0.5088911176,0.3127529705,6,2,17,3103,55,4244,2302,48.37,1714372,107.47
0.5247710042,0.3231384009,5,4,13,3858,63,6447,2394,44.66,1485553,107.47
0.4104896296,0.3104015008,10,1,9,4916,76,6580,2514,42.41,1519192,107.47
0.436969833,0.3047116952,10,2,9,6196,97,14140,2556,41.76,1257823,107.86
0.3630697911,0.3063700398,9,2,4,8387,119,14760,2652,45.17,953699,111.1
0.561186377,0.2937059229,3,3,6,10963,142,21691,2975,47.41,779631,118.71
0.4975785986,0.3014123823,6,6,2,15160,185,25968,3134,50.09,620883,123.77
0.4640668989,0.2987584081,4,1,11,20936,247,35807,3250,49.6,593167,130.55
0.4832537554,0.292137356,4,1,6,27467,297,45097,3303,44.47,548132,130.55
0.5669738112,0.2933923258,3,4,6,36427,426,46530,3417,42.06,454516,130.55
0.5197774199,0.3051442158,4,1,17,47105,509,55732,3656,45.14,331431,159.56
0.5568250956,0.3039262811,5,6,2,57269,706,66589,3711,48.04,279018,135.18
0.4644528045,0.2985233537,6,3,5,69558,931,78895,3890,48.12,239234,138.11
0.4493982047,0.2921841863,8,2,7,86867,1208,93073,4141,49.24,203858,141.15
0.561548999,0.3062204272,3,4,3,105526,1574,96399,4166,52.35,199644,151.7
0.5881565424,0.3232838891,3,6,11,124889,2001,106965,4291,52.63,184027,151.7
0.5601086626,0.3050418317,3,3,9,144369,2467,107893,4874,52.45,180002,151.7
0.5050735412,0.327912872,5,3,4,165587,2983,110627,5102,50.98,154080,150.88
0.4015260108,0.2953930606,5,1,5,190061,3803,118642,5643,48.77,146348,150.88
