AvgSentiment,AvgTopicContrib,Negative,Positive,Neutral,testPositive,death,totalTested,hospitalizedIncrease,temp,airTravel,zoom
0.763410008,0.332711786,0,6,4,40,8,13,833,39.63,2280522,113.11
0.4488970987,0.3302825093,2,2,1,53,11,22,884,43.34,2089641,113.11
0.1137077436,0.324982065,5,0,0,94,14,47,1173,47.87,1736393,117.47
0.2677701701,0.3117916031,5,0,2,209,16,279,1345,47.01,1877401,116.8
0.4078075786,0.268105939,1,0,2,277,20,407,1413,44.94,2130015,125
0.5047259927,0.2810197175,0,0,1,395,26,679,1472,43.01,2198517,114.32
0.6047766805,0.2442537397,0,0,1,1372,37,1329,2207,48.91,1617220,108.49
0.6916668415,0.350849539,0,0,1,3103,55,4244,2302,48.37,1714372,107.47
0.2405623347,0.2882812917,1,0,0,3858,63,6447,2394,44.66,1485553,107.47
0.2098679841,0.240421012,1,0,0,4916,76,6580,2514,42.41,1519192,107.47
0.1482865512,0.3129321337,1,0,0,6196,97,14140,2556,41.76,1257823,107.86
0.8104607761,0.2886414081,0,2,0,10963,142,21691,2975,47.41,779631,118.71
0.4218144417,0.2782977223,0,0,1,69558,931,78895,3890,48.12,239234,138.11
0.4522657096,0.2784151435,0,0,1,86867,1208,93073,4141,49.24,203858,141.15
0.5176353455,0.3891004026,0,0,1,105526,1574,96399,4166,52.35,199644,151.7
0.9453373551,0.2608458996,0,1,0,190061,3803,118642,5643,48.77,146348,150.88
