,DATE,LATITUDE,LONGITUDE,ELEVATION,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT
0,2020-01-01,37.4714959921875,-77.737736059375,158.18390625000006,42.778125,23.59375,1742.4421874999991,19.5625,5645.507812500002,11.375,585.1921875,15.046875,195.56406249999995,19.328125,68.4203125,22.25,74.81093749999998,295.5125,52.907812500000006,33.30468749999999,0.00015625,999.900000000001,0.0
1,2020-01-02,37.4714959921875,-77.737736059375,158.18390625000006,41.5734375,23.453125,1898.9374999999993,19.15625,5648.181250000003,11.390625,510.3234375000003,18.046875,195.52187499999994,19.09375,66.565625,22.171875,72.8296875,586.0046875000004,56.103125000000006,30.617187500000007,7.8134375,999.900000000001,1421.875
2,2020-01-03,37.4714959921875,-77.737736059375,158.18390625000006,49.9625,23.5,1911.243749999999,18.90625,5646.685937500001,9.953125,586.1515625000001,18.046875,194.415625,19.078125,67.99375000000002,22.21875,72.925,539.5656250000002,56.29218749999998,40.31562499999998,11.05265625,999.900000000001,13281.25
3,2020-01-04,37.4714959921875,-77.737736059375,158.18390625000006,55.21406250000001,23.28125,1762.6843749999996,19.328125,5643.6265625000015,9.015625,644.7484375000001,18.125,193.39218749999992,19.03125,67.015625,21.984375,74.43593750000002,435.37187500000016,60.27968749999998,46.854687499999976,14.274218750000003,999.900000000001,28937.5
4,2020-01-05,37.4714959921875,-77.737736059375,158.18390625000006,43.01249999999999,23.484375,1743.6171874999993,19.375,5647.4343750000035,11.03125,525.2875000000003,18.0625,195.44374999999994,19.109375,72.35000000000001,22.171875,79.58749999999999,240.22656249999994,55.81562499999999,35.396874999999994,17.35296875,999.900000000001,4812.5
5,2020-01-06,37.4714959921875,-77.737736059375,158.18390625000006,40.98593750000002,23.71875,1741.3734374999997,19.40625,5649.223437500001,11.578125,481.0000000000002,18.15625,195.53906249999997,19.1875,67.14218749999999,22.40625,73.5328125,478.78125000000034,54.279687499999994,31.098437499999996,0.0040625,999.900000000001,156.25
6,2020-01-07,37.4714959921875,-77.737736059375,158.18390625000006,36.7765625,23.78125,1742.6296874999994,19.625,5649.009375000002,10.65625,464.6531250000001,18.15625,194.60625,19.3125,66.0203125,22.375,76.96562500000002,436.0359375000003,50.12812499999999,29.3796875,15.6878125,968.7031250000009,20406.25
7,2020-01-08,37.4714959921875,-77.737736059375,158.18390625000006,38.895312499999996,23.578125,1739.9468749999994,19.46875,5650.423437500002,11.421875,451.57499999999993,18.0625,195.33593749999997,19.125,70.77031250000003,22.203125,80.70937500000001,241.53749999999994,50.434374999999996,28.818749999999998,3.2278124999999993,984.2953125000009,6609.375
8,2020-01-09,37.4714959921875,-77.737736059375,158.18390625000006,34.9046875,23.625,1735.4703124999996,19.5625,5658.500000000001,11.421875,385.27031250000016,18.03125,195.54374999999996,19.25,66.2046875,22.28125,71.07187499999999,831.1671875000008,48.520312499999996,26.298437499999995,1.56296875,984.307812500001,15.625
9,2020-01-10,37.4714959921875,-77.737736059375,158.18390625000006,44.7875,23.75,1747.6749999999993,19.625,5658.110937500002,11.328125,384.8750000000001,18.203125,195.53437499999995,19.21875,66.69843750000003,22.375,72.80156250000002,571.0375000000004,60.94062499999999,29.920312499999998,6.249375,999.900000000001,2656.25
10,2020-01-11,37.4714959921875,-77.737736059375,158.18390625000006,59.626562499999984,22.875,1762.5671874999987,19.203125,5653.676562500001,10.09375,440.3562500000001,18.015625,195.01874999999995,19.0625,69.92656249999999,21.609375,77.50156249999999,253.5765624999999,69.73906249999997,50.7234375,14.072031249999998,999.900000000001,7187.5
11,2020-01-12,37.4714959921875,-77.737736059375,158.18390625000006,64.59062499999999,23.28125,1763.8796875000003,19.25,5790.959375000004,10.0625,467.05781250000007,17.828125,195.17187499999994,18.828125,71.84062499999999,22.0,80.81093750000001,242.840625,69.80000000000003,52.09062500000001,14.32796875,999.900000000001,10157.1875
12,2020-01-13,37.4714959921875,-77.737736059375,158.18390625000006,53.13593750000001,22.9375,1757.9906250000001,19.34375,5653.750000000002,9.25,425.65156250000007,18.046875,194.89999999999995,19.015625,64.78593750000002,21.609375,69.14999999999999,922.9546875000009,63.33437499999999,46.57500000000001,6.31609375,999.900000000001,12031.25
13,2020-01-14,37.4714959921875,-77.737736059375,158.18390625000006,50.5421875,23.0625,1759.2671874999994,19.03125,5652.507812500002,8.90625,439.33750000000003,17.71875,193.00937499999995,18.515625,65.1875,21.828125,70.46875,877.1765625000008,57.340624999999996,46.10624999999999,14.288749999999999,999.900000000001,49408.125
14,2020-01-15,37.4714959921875,-77.737736059375,158.18390625000006,50.73125000000002,23.28125,1913.9890624999994,18.859375,5651.298437500003,9.5,453.04687500000017,17.828125,207.8328124999999,18.53125,65.02812499999997,21.84375,85.62656249999999,938.5468750000009,57.83593750000001,44.153125,6.356718750000001,999.900000000001,58125.0
15,2020-01-16,37.4714959921875,-77.737736059375,158.18390625000006,53.43124999999999,23.640625,1751.8140624999999,19.390625,5649.559375000001,11.046875,466.3453125000001,17.984375,195.30468749999991,18.828125,54.9046875,22.4375,79.98437499999999,241.60937499999994,60.18750000000001,44.270312499999996,1.565625,999.900000000001,6718.75
