,DATE,LATITUDE,LONGITUDE,ELEVATION,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT
15,2020-01-16,40.61003591272727,-82.72404057272728,260.1607272727273,37.852727272727286,23.963636363636365,755.3436363636363,21.98181818181818,3799.7490909090893,13.418181818181818,848.2654545454548,19.145454545454545,189.17090909090905,19.6,48.272727272727295,22.727272727272727,73.38727272727272,222.01818181818172,48.49454545454545,28.543636363636367,3.6594545454545453,981.7563636363645,7309.090909090909
16,2020-01-17,40.61003591272727,-82.72404057272728,260.1607272727273,26.076363636363634,23.945454545454545,741.6836363636363,22.2,3809.814545454545,15.127272727272727,386.78545454545457,19.12727272727273,189.87272727272727,19.581818181818182,43.952727272727294,22.745454545454546,69.00727272727273,270.15999999999997,35.08909090909091,21.716363636363642,7.280545454545454,981.7563636363645,2036.3636363636363
17,2020-01-18,40.61003591272727,-82.72404057272728,260.1607272727273,33.289090909090895,23.963636363636365,752.7581818181819,21.89090909090909,3796.2963636363625,11.50909090909091,970.9363636363639,19.054545454545455,187.74363636363637,19.490909090909092,46.594545454545454,22.69090909090909,75.67636363636365,227.04545454545453,45.20181818181817,24.03272727272728,14.684545454545452,945.4745454545463,22472.727272727272
18,2020-01-19,40.61003591272727,-82.72404057272728,260.1607272727273,22.681818181818176,23.98181818181818,741.5254545454541,22.163636363636364,3793.6345454545444,12.981818181818182,969.0254545454547,19.163636363636364,187.8381818181818,19.472727272727273,50.49454545454544,22.636363636363637,77.63090909090909,227.0745454545454,42.18181818181818,14.750909090909094,14.880181818181818,909.2090909090917,6545.454545454545
19,2020-01-20,40.61003591272727,-82.72404057272728,260.1607272727273,19.234545454545447,23.945454545454545,920.1800000000001,21.763636363636362,3803.9436363636355,13.418181818181818,689.1072727272726,19.145454545454545,188.48727272727268,19.472727272727273,42.08545454545455,22.763636363636362,65.98363636363638,696.1000000000004,28.59454545454546,13.54363636363636,16.36672727272727,927.3454545454554,4327.272727272727
20,2020-01-21,40.61003591272727,-82.72404057272728,260.1607272727273,22.047272727272734,23.927272727272726,920.8727272727273,21.745454545454546,3806.4872727272714,15.418181818181818,528.4436363636366,19.10909090909091,189.83636363636353,19.418181818181818,40.11454545454544,22.745454545454546,63.030909090909105,964.1400000000009,28.05272727272726,14.643636363636364,1.8196363636363635,909.152727272728,163.63636363636363
21,2020-01-22,40.61003591272727,-82.72404057272728,260.1607272727273,23.312727272727276,23.98181818181818,740.5254545454542,22.01818181818182,3802.903636363635,16.472727272727273,742.6818181818184,19.163636363636364,189.80909090909086,19.509090909090908,40.36545454545453,22.78181818181818,63.18909090909093,892.7672727272735,35.60181818181818,14.083636363636362,0.0,927.281818181819,0.0
22,2020-01-23,40.61003591272727,-82.72404057272728,260.1607272727273,33.187272727272735,23.98181818181818,745.5309090909091,22.254545454545454,3798.4963636363623,16.563636363636363,901.5254545454547,19.163636363636364,190.08181818181814,19.636363636363637,39.92727272727273,22.818181818181817,61.63636363636363,964.0672727272736,42.93090909090908,20.63818181818182,5.4541818181818185,927.2963636363644,1454.5454545454545
23,2020-01-24,40.61003591272727,-82.72404057272728,260.1607272727273,40.494545454545445,24.0,757.4127272727275,21.98181818181818,3793.50909090909,14.090909090909092,986.3909090909093,19.163636363636364,188.56363636363642,19.636363636363637,42.72727272727273,22.8,66.5709090909091,483.85090909090917,45.41818181818182,32.38727272727272,12.767636363636361,963.5836363636371,12745.454545454546
24,2020-01-25,40.61003591272727,-82.72404057272728,260.1607272727273,38.39454545454545,23.98181818181818,941.5509090909092,21.745454545454546,3789.84,11.090909090909092,983.145454545455,19.12727272727273,187.98727272727274,19.618181818181817,43.123636363636365,22.78181818181818,67.72181818181818,234.33818181818182,44.374545454545455,33.92727272727271,11.21581818181818,981.741818181819,36727.27272727273
25,2020-01-26,40.61003591272727,-82.72404057272728,260.1607272727273,33.347272727272724,23.98181818181818,936.4963636363634,21.763636363636362,3790.561818181817,13.163636363636364,984.0145454545457,19.181818181818183,187.97636363636354,19.618181818181817,45.80909090909089,22.69090909090909,68.01636363636364,234.24545454545455,219.5981818181818,213.52909090909088,12.760181818181813,999.9000000000009,4090.909090909091
