,DATE,LATITUDE,LONGITUDE,ELEVATION,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MIN,PRCP,SNDP,FRSHTT
9,2020-01-10,42.00756911,-71.16202555333334,62.17000000000001,36.23000000000001,23.633333333333333,2020.8200000000002,18.866666666666667,1633.0866666666666,20.6,351.99666666666667,17.2,273.88333333333327,17.266666666666666,7.369999999999999,23.566666666666666,114.22333333333334,317.2533333333333,48.78,20.11333333333333,0.017,999.9000000000004,1333.3333333333333
10,2020-01-11,42.00756911,-71.16202555333334,62.17000000000001,53.169999999999995,22.466666666666665,2037.3499999999997,18.533333333333335,1623.6266666666668,19.533333333333335,378.01999999999987,17.033333333333335,273.62999999999994,17.133333333333333,11.366666666666667,22.4,120.05666666666667,259.7933333333333,61.58333333333334,45.92333333333334,0.001,999.9000000000004,4666.666666666667
11,2020-01-12,42.00756911,-71.16202555333334,62.17000000000001,58.3,23.4,2040.013333333333,18.766666666666666,1613.3933333333334,19.0,436.90999999999985,17.166666666666668,272.6266666666666,17.166666666666668,14.709999999999999,23.366666666666667,122.25666666666667,262.3733333333333,65.49,45.64333333333334,3.3599999999999994,999.9000000000004,22333.333333333332
12,2020-01-13,42.00756911,-71.16202555333334,62.17000000000001,38.08999999999999,22.766666666666666,2024.4233333333334,18.833333333333332,1628.3066666666666,18.5,348.6833333333333,17.6,273.1866666666666,17.6,5.263333333333333,22.766666666666666,109.70666666666668,672.7966666666666,46.75999999999999,34.37333333333334,6.694999999999999,999.9000000000004,6166.666666666667
13,2020-01-14,42.00756911,-71.16202555333334,62.17000000000001,37.983333333333334,23.733333333333334,2026.8933333333334,18.933333333333334,1923.9966666666667,17.833333333333332,346.0966666666666,16.933333333333334,272.45333333333326,17.3,3.0,23.733333333333334,106.43,934.4066666666671,41.833333333333336,33.03,0.0006666666666666666,999.9000000000004,18000.0
14,2020-01-15,42.00756911,-71.16202555333334,62.17000000000001,41.68666666666666,23.2,2026.9300000000003,18.466666666666665,1917.5799999999997,18.433333333333334,440.2233333333332,16.7,273.03666666666663,17.5,4.593333333333334,23.2,110.61333333333333,509.1966666666666,380.39333333333343,366.6166666666667,6.670333333333334,999.9000000000004,12000.0
15,2020-01-16,42.00050942413794,-71.16369195172415,57.74482758620691,37.26896551724137,23.93103448275862,2092.027586206897,18.96551724137931,1632.2034482758618,17.655172413793103,415.67931034482757,17.724137931034484,247.6620689655172,18.06896551724138,7.16896551724138,23.896551724137932,123.99310344827585,269.0172413793103,47.78620689655174,29.813793103448273,6.951379310344828,999.9000000000004,18000.0
16,2020-01-17,42.00050942413794,-71.16369195172415,57.74482758620691,23.23793103448276,23.862068965517242,2071.306896551724,18.96551724137931,1645.410344827586,21.75862068965517,323.6103448275862,18.103448275862068,248.8862068965517,18.0,13.920689655172414,23.79310344827586,122.77931034482759,266.2172413793103,41.172413793103445,16.848275862068963,0.030000000000000002,999.9000000000004,103.44827586206897
17,2020-01-18,42.00050942413794,-71.16369195172415,57.74482758620691,17.48275862068966,23.82758620689655,2071.0172413793107,19.03448275862069,1651.8310344827585,19.93103448275862,327.6448275862069,18.20689655172414,248.26551724137929,18.137931034482758,5.1482758620689655,23.79310344827586,115.2448275862069,595.2931034482757,27.113793103448273,12.875862068965516,10.343793103448276,965.4620689655177,4206.896551724138
18,2020-01-19,42.00050942413794,-71.16369195172415,57.74482758620691,33.74137931034483,23.655172413793103,2089.241379310345,18.586206896551722,1626.0724137931036,16.724137931034484,480.803448275862,17.862068965517242,246.51379310344822,17.896551724137932,7.493103448275862,23.655172413793103,119.3206896551724,260.9793103448275,42.934482758620696,18.448275862068964,10.53,965.4896551724142,39379.31034482759
